,spec,ID,img
382,EPN,708,7
383,EPO,169,7
384,EPO,142,7
385,EPO,113,7
386,EPN,709,7
387,EPN,725,7
388,EPR,180,7
389,EPR,178,7
390,EPO,136,7
391,PIR,362,8
392,MEL,839,8
393,ERS,590,8
394,EPN,712,8
395,SAB,1003,8
396,PRU,384,8
397,ERS,769,8
398,EPO,126,8
399,SAB,1001,8
400,BOJ,654,8
401,CHR,487,8
402,PIR,358,8
403,MEL,881,8
404,ERS,581,8
405,MEL,834,8
406,ERS,576,8
407,EPO,119,8
408,PIR,354,8
409,CHR,48,8
410,CHR,479,8
411,ERS,238,8
412,PIR,349,8
413,PIB,967,8
414,EPN,715,8
415,EPN,716,8
416,EPO,123,8
417,SAB,1000,8
418,EPN,711,8
419,ERS,780,8
420,EPO,151,8
421,CHR,51,8
422,CHR,507,8
423,ERR,191,8
424,CHR,496,8
425,BOJ,661,8
426,CHR,513,8
427,EPO,143,8
428,PRU,403,8
429,FRA,607,8
430,CHR,498,8
431,CHR,499,8
432,EPO,137,8
433,EPO,138,8
434,BOP,33,8
435,HEG,620,8
436,CHR,518,8
437,HEG,794,8
438,ERS,783,8
439,EPO,160,8
440,EPO,159,8
441,MEL,820,8
442,BOP,665,8
443,EPO,129,8
444,MEL,811,8
445,FRA,244,8
446,EPO,131,8
447,HEG,802,8
448,HEG,801,8
449,EPO,154,8
450,CHR,523,8
451,PRU,393,8
452,CHR,52,8
453,PRU,387,8
454,PRU,388,8
455,CHR,502,8
456,PET,951,8
457,EPB,685,8
458,EPB,689,8
459,PET,935,8
460,SAB,984,8
461,EPB,686,8
462,PET,952,8
463,CHR,43,8
464,PET,922,8
465,THO,431,8
466,EPB,684,8
467,THO,1006,8
468,ERR,557,8
469,PET,911,8
470,PET,948,8
471,ERR,760,8
472,PET,945,8
473,SAB,995,8
474,PET,939,8
475,PET,942,8
476,SAB,994,8
477,PET,949,8
478,EPR,183,8
479,PET,955,8
480,ERS,212,8
481,SAB,999,8
482,EPB,89,8
483,EPN,733,8
484,BOJ,26,8
485,OSV,313,8
486,EPO,746,8
487,EPN,738,8
488,EPB,90,8
489,BOJ,643,8
490,ERR,566,8
491,CHR,76,8
492,PET,958,8
493,EPN,696,8
494,PET,927,8
495,EPR,182,8
496,PET,926,8
497,CHR,81,8
498,EPB,682,8
499,PET,956,8
500,OSV,893,8
501,SAB,993,8
502,HEG,800,9
503,EPN,731,9
504,PET,932,9
505,EPN,729,9
506,CHR,475,9
507,EPN,728,9
508,PIB,329,9
509,PET,963,9
510,EPN,723,9
511,EPN,724,9
512,PRU,395,9
513,HEG,285,9
514,HEG,611,9
515,BOP,670,9
516,EPN,726,9
517,PET,953,9
518,HEG,805,9
519,PET,950,9
520,CHR,494,9
521,HEG,619,9
522,EPN,727,9
523,HEG,622,9
524,MEL,808,9
525,MEL,822,9
526,PRU,390,9
527,CHR,45,9
528,OSV,902,9
529,OSV,900,9
530,EPO,124,9
531,OSV,897,9
532,PIR,359,9
533,PIB,338,9
534,EPN,713,9
535,PIR,357,9
536,EPN,714,9
537,OSV,894,9
538,PRU,396,9
539,OSV,892,9
540,PIR,351,9
541,PIR,350,9
542,EPN,717,9
543,EPO,118,9
544,OSV,310,9
545,CHR,478,9
546,MEL,867,9
547,EPN,732,9
548,MEL,866,9
549,MEL,850,9
550,PRU,389,9
551,MEL,812,9
552,EPO,130,9
553,MEL,818,9
554,MEL,821,9
555,OSV,308,9
556,PET,921,9
557,MEL,823,9
558,MEL,825,9
559,MEL,827,9
560,PET,920,9
561,PET,917,9
562,MEL,835,9
563,PRU,386,9
564,PET,916,9
565,PET,915,9
566,EPO,128,9
567,PET,912,9
568,PRU,383,9
569,BOP,39,9
570,PIR,356,9
571,BOJ,649,9
572,ERR,565,9
573,BOJ,657,9
574,CHR,517,9
575,SAB,991,9
576,SAB,985,9
577,SAB,986,9
578,EPO,158,9
579,CHR,521,9
580,CHR,54,9
581,ERS,589,9
582,CHR,512,9
583,SAB,998,9
584,BOJ,656,9
585,EPO,156,9
586,ERR,548,9
587,EPR,179,9
588,SAB,415,9
589,SAB,414,9
590,ERR,549,9
591,EPO,157,9
592,EPR,189,9
593,EPN,704,9
594,EPB,690,9
595,PRU,975,9
596,EPO,150,9
597,ERR,193,9
598,SAB,996,9
599,EPN,698,9
600,CHR,80,9
601,PRU,400,9
602,SAB,997,9
603,ERS,577,9
604,EPR,177,9
605,BOJ,645,9
606,SAB,426,9
607,CHR,506,9
608,SAB,1002,9
609,EPO,141,9
610,CHR,67,9
611,MEL,862,10
612,MEL,846,10
613,CHR,60,10
614,PET,923,10
615,MEL,860,10
616,SAB,1004,10
617,PET,913,10
618,EPN,719,10
619,EPN,736,10
620,MEL,852,10
621,EPN,695,10
622,PRU,381,10
623,CHR,61,10
624,EPN,735,10
625,ERS,775,10
626,MEL,865,10
627,OSV,307,10
628,EPN,699,10
629,PIB,970,10
630,PIB,971,10
631,CHR,676,10
632,EPN,718,10
633,EPO,747,10
634,EPO,748,10
635,ERS,578,10
636,ORA,289,10
637,ERS,208,10
638,FRA,792,10
639,EPN,737,10
640,SAB,425,10
641,SAB,987,10
642,EPO,167,10
643,BOJ,652,10
644,PIB,332,10
645,MEL,870,10
646,BOP,40,10
647,EPO,165,10
648,EPO,739,10
649,ERR,564,10
650,BOJ,660,10
651,EPN,722,10
652,FRA,247,10
653,PRU,391,10
654,CHR,525,10
655,THO,430,10
656,ERS,774,10
657,ERR,543,10
658,PRU,392,10
659,PRU,394,10
660,FRA,787,10
661,CHR,519,10
662,EPO,132,10
663,EPO,133,10
664,CHR,515,10
665,BOJ,644,10
666,EPB,693,10
667,CHR,503,10
668,HEG,286,10
669,PRU,401,10
670,HEG,283,10
671,EPR,752,10
672,HEG,624,10
673,BOJ,658,10
674,PRU,397,10
675,HEG,275,10
676,PET,930,10
677,FRA,791,10
678,PIB,325,10
679,ERR,562,10
680,EPN,730,10
681,ERR,559,10
682,MEL,830,10
683,PET,936,10
684,PRU,976,10
685,PET,937,10
686,MEL,828,10
687,EPO,162,10
688,ERR,555,10
689,EPO,161,10
690,BOP,671,10
691,MEL,819,10
692,THO,1007,10
693,MEL,817,10
694,ERR,556,10
695,BOP,666,11
696,PIB,316,11
697,PIB,328,11
698,OSV,887,11
699,CHR,71,11
700,EPO,745,11
701,EPO,742,11
702,OSV,886,11
703,BOJ,639,11
704,EPO,749,11
705,BOJ,641,11
706,OSV,903,11
707,PIB,333,11
708,PET,947,11
709,PET,946,11
710,ERR,761,11
711,ERR,756,11
712,ERR,561,11
713,BOP,673,11
714,PET,924,11
715,PET,925,11
716,SAB,983,11
717,PIB,330,11
718,FRA,793,11
719,CHR,488,11
720,BOJ,24,11
721,MEL,858,11
722,MEL,855,11
723,MEL,853,11
724,SAB,982,11
725,MEL,840,11
726,MEL,838,11
727,MEL,837,11
728,ERS,777,11
729,MEL,833,11
730,MEL,832,11
731,MEL,831,11
732,ERS,779,11
733,EPO,163,11
734,MEL,859,11
735,PRU,977,11
736,FRA,243,11
737,MEL,807,11
738,PIB,324,11
739,HEG,799,11
740,HEG,798,11
741,HEG,625,11
742,CHR,493,11
743,EPN,705,11
744,FRA,788,11
745,HEG,277,11
746,FRA,789,11
747,HEG,274,11
748,FRA,790,11
749,BOJ,659,11
750,MEL,868,11
751,PIB,323,11
752,ERS,585,11
753,EPO,168,11
754,CHR,481,11
755,EPO,170,11
756,ERS,582,11
757,ERS,584,11
758,PIB,969,11
759,ERS,574,11
760,ORA,885,11
761,MEL,872,11
762,MEL,877,11
763,BOP,35,12
764,PIB,320,12
765,MEL,806,12
766,ORA,300,12
767,EPN,702,12
768,BOJ,640,12
769,CHR,678,12
770,CHR,675,12
771,BOJ,642,12
772,EPO,743,12
773,CHR,47,12
774,MEL,813,12
775,EPB,694,12
776,CHR,495,12
777,PRU,399,12
778,BOP,667,12
779,EPR,754,12
780,HEG,618,12
781,SAB,413,12
782,ERR,552,12
783,PRU,978,12
784,ERS,588,12
785,MEL,857,12
786,ERR,755,12
787,BOJ,22,12
788,MEL,848,12
789,MEL,847,12
790,MEL,844,12
791,MEL,843,12
792,MEL,871,12
793,ERR,567,12
794,OSV,901,12
795,MEL,841,12
796,MEL,826,12
797,ERS,776,12
798,PIB,337,12
799,ERS,580,12
800,OSV,896,12
801,CHR,485,12
802,SAB,981,12
803,CHR,489,12
804,BOP,672,12
805,MEL,824,12
806,PRU,379,13
807,PIB,965,13
808,PIB,972,13
809,PIB,334,13
810,BOJ,647,13
811,PRU,380,13
812,BOJ,23,13
813,MEL,815,13
814,ERR,551,13
815,CHR,482,13
816,ERR,757,13
817,ERR,558,13
818,MEL,861,13
819,ORA,302,13
820,HEG,796,13
821,MEL,875,13
822,MEL,873,13
823,EPN,701,13
824,ORA,882,13
825,HEG,803,13
826,CHR,680,13
827,CHR,491,13
828,MEL,878,13
829,EPB,88,13
830,CHR,49,13
831,ERS,579,13
832,MEL,851,13
833,ERS,586,13
834,MEL,849,13
835,CHR,44,13
836,MEL,864,13
837,CHR,486,13
838,OSV,899,13
839,OSV,898,13
840,OSV,895,13
841,ERR,545,13
842,MEL,869,14
843,MEL,842,14
844,MEL,874,14
845,ERR,547,14
846,THO,429,14
847,THO,428,14
848,MEL,863,14
849,HEG,797,14
850,THO,432,14
851,ERR,763,14
852,CHR,679,14
853,PIB,327,14
854,BOJ,655,14
855,ERS,592,14
856,PIB,331,14
857,SAB,427,14
858,OSV,890,14
859,OSV,889,14
860,FRA,609,14
861,ERS,778,14
862,MEL,854,14
863,ERR,767,14
864,PRU,973,14
865,CHR,527,14
866,ERR,764,14
867,BOJ,462,14
868,ERR,563,14
869,ERR,766,15
870,ERR,765,15
871,ERS,575,15
872,CHR,528,15
873,ERS,583,15
874,MEL,845,15
875,SAB,421,15
876,PRU,979,15
877,FRA,786,15
878,SAB,424,15
879,EPO,744,15
880,EPO,127,15
881,BOP,664,15
882,MEL,879,15
883,CHR,483,15
884,BOJ,646,15
885,CHR,42,15
886,EPR,750,15
887,BOJ,21,16
888,PIB,315,16
889,PIB,322,16
890,PRU,974,16
891,ERS,772,16
892,CHR,497,16
893,MEL,856,16
894,BOJ,25,16
895,ORA,883,16
896,SAB,422,16
897,SAB,423,16
898,PIB,968,16
899,ERR,768,16
900,EPR,175,17
901,CHR,476,17
902,OSV,888,17
903,BOJ,20,17
904,ERS,587,17
905,PIB,326,17
906,CHR,477,17
907,ERS,773,17
908,PIB,321,17
909,CHR,480,17
910,ERR,544,17
911,ERR,758,17
912,ERR,560,17
913,EPR,753,17
914,MEL,810,17
915,CHR,492,17
916,PIB,339,18
917,PIB,319,18
918,PIB,318,18
919,MEL,876,18
920,SAB,980,18
921,FRA,605,19
922,BOJ,648,20
923,ORA,626,20
924,FRA,610,20
925,EPR,536,20
926,ERR,759,20
927,HEG,795,21
928,CHR,490,21
929,PRU,375,21
930,CHR,529,21
931,PRU,378,22
932,EPR,540,23
933,BOJ,464,23
934,THO,638,23
935,CHR,484,23
936,EPR,538,24
937,ORA,629,24
938,BOP,472,25
939,ORA,884,25
940,PRU,376,25
941,EPN,700,26
942,FRA,603,26
943,FRA,604,27
944,FRA,608,27
945,BOJ,463,27
946,ERR,570,27
947,PIR,633,27
948,PIB,335,27
949,BOP,471,27
950,HEG,273,27
951,SAB,634,28
952,BOP,473,28
953,THO,635,28
954,EPR,539,28
955,EPR,535,28
956,CHR,534,29
957,CHR,532,30
958,BOP,474,30
959,CHR,533,30
960,BOP,663,30
961,ERR,572,32
962,ERR,571,33
963,FRA,600,33
964,ERS,598,34
965,PIR,632,35
966,ERR,573,35
967,PIR,631,36
968,BOJ,461,36
969,THO,636,36
970,BOP,466,37
971,CHR,530,39
972,EPR,537,39
973,FRA,602,39
974,BOP,469,40
975,FRA,606,40
976,ERR,569,40
977,CHR,531,41
978,ERS,597,42
979,ORA,627,42
980,BOJ,459,43
981,BOP,468,43
982,ORA,628,44
983,BOJ,460,45
984,BOP,470,46
985,BOP,465,46
986,ERR,568,49
987,ORA,630,51
988,THO,637,51
989,BOP,467,52
990,ERS,594,54
991,FRA,599,56
992,FRA,601,58
993,ERS,595,59
994,CHR,41,69
995,ERS,596,77
